query_label,split,well_id,view,query_grid_valid_points,provided_label,provided_in_primary_pool,provided_rank_by_z_rmse,primary_pool_candidates,provided_overlap_grid_points,provided_coverage_query,provided_coverage_candidate,provided_corr,provided_raw_rmse,provided_resid_std,provided_z_rmse,best_label,best_split,best_well_id,best_is_provided,best_overlap_grid_points,best_coverage_query,best_coverage_candidate,best_corr,best_raw_rmse,best_resid_std,best_z_rmse,best_minus_provided_z_rmse,best_minus_provided_raw_rmse
horizontal:train:0498acab:prefix,train,0498acab,prefix,651,typewell:train:0498acab,True,14.0,485,639.0,0.981566846370697,0.33755943179130554,0.7264586091041565,21.38677978515625,21.281564712524414,0.7396504282951355,typewell:train:261785ee,train,261785ee,False,651.0,1.0,0.25660228729248047,0.7758059501647949,18.139923095703125,17.964731216430664,0.6696178913116455,-0.07003253698348999,-3.246856689453125
horizontal:train:0498acab:hidden,train,0498acab,hidden,46,typewell:train:0498acab,True,20.0,244,46.0,1.0,0.02430005371570587,0.44623059034347534,10.866907119750977,10.659599304199219,1.0523966550827026,typewell:train:2f8e53c3,train,2f8e53c3,False,39.0,0.8478260636329651,0.025657894089818,0.6625210046768188,34.71980285644531,9.397875785827637,0.8215582966804504,-0.2308383584022522,23.852895736694336
horizontal:train:0498acab:full,train,0498acab,full,683,typewell:train:0498acab,True,13.0,491,671.0,0.9824304580688477,0.3544638156890869,0.723942220211029,21.0346736907959,20.932714462280273,0.7430447936058044,typewell:train:261785ee,train,261785ee,False,683.0,1.0,0.2692156136035919,0.765560507774353,18.233238220214844,18.042251586914062,0.6847473978996277,-0.05829739570617676,-2.8014354705810547
horizontal:train:052d64df:prefix,train,052d64df,prefix,1000,typewell:train:052d64df,True,13.0,493,987.0,0.9869999885559082,0.45928338170051575,0.8663997650146484,15.876422882080078,15.794299125671387,0.5169143676757812,typewell:train:516088b7,train,516088b7,False,848.0,0.8479999899864197,0.4927367866039276,0.8931513428688049,15.46412467956543,14.878976821899414,0.46227407455444336,-0.05464029312133789,-0.41229820251464844
horizontal:train:052d64df:hidden,train,052d64df,hidden,51,typewell:train:052d64df,True,2.0,260,51.0,1.0,0.02373196743428707,0.788689136505127,10.56991195678711,10.397318840026855,0.6500936150550842,typewell:train:0498acab,train,0498acab,False,51.0,1.0,0.026941362768411636,0.788689136505127,10.56991195678711,10.397318840026855,0.6500936150550842,0.0,0.0
horizontal:train:052d64df:full,train,052d64df,full,1022,typewell:train:052d64df,True,13.0,497,1009.0,0.9872798323631287,0.4695207178592682,0.8651056885719299,15.83049488067627,15.75289249420166,0.5194118022918701,typewell:train:516088b7,train,516088b7,False,870.0,0.8512719869613647,0.5055200457572937,0.8911380767822266,15.42002010345459,14.86683464050293,0.4666088819503784,-0.0528029203414917,-0.4104747772216797
horizontal:train:05948241:prefix,train,05948241,prefix,712,typewell:train:05948241,True,1.0,392,694.0,0.9747191071510315,0.37112298607826233,0.8711023330688477,17.16973304748535,16.42079734802246,0.5077354907989502,typewell:train:05948241,train,05948241,True,694.0,0.9747191071510315,0.37112298607826233,0.8711023330688477,17.16973304748535,16.42079734802246,0.5077354907989502,0.0,0.0
horizontal:train:05948241:hidden,train,05948241,hidden,31,typewell:train:05948241,False,,394,16.0,0.5161290168762207,0.008556149899959564,0.7578018307685852,8.107433319091797,8.077386856079102,0.6959858536720276,typewell:train:357c12f9,train,357c12f9,False,31.0,1.0,0.014272559434175491,0.5632988810539246,38.89680862426758,38.87753677368164,0.9345599412918091,0.2385740876197815,30.78937530517578
horizontal:train:05948241:full,train,05948241,full,719,typewell:train:05948241,True,1.0,395,698.0,0.9707927703857422,0.3732620179653168,0.8714394569396973,17.084402084350586,16.366390228271484,0.5070710778236389,typewell:train:05948241,train,05948241,True,698.0,0.9707927703857422,0.3732620179653168,0.8714394569396973,17.084402084350586,16.366390228271484,0.5070710778236389,0.0,0.0
horizontal:train:059c8f24:prefix,train,059c8f24,prefix,789,typewell:train:059c8f24,True,1.0,99,786.0,0.9961977005004883,0.48102813959121704,0.7975223660469055,15.237767219543457,14.955826759338379,0.6363609433174133,typewell:train:059c8f24,train,059c8f24,True,786.0,0.9961977005004883,0.48102813959121704,0.7975223660469055,15.237767219543457,14.955826759338379,0.6363609433174133,0.0,0.0
