experiment,config_path,parse_error,status,route,metrics_status,metrics_cv,has_sig_p,sig_p_entries,local_contract_count,numeric_sig_p_values,numeric_step_values,numeric_momentum_values,nondefault_sig_p_values,nondefault_step_values,nondefault_momentum_values,position_sigma_schedule_paths,momentum_schedule_paths,has_position_intervention_design,has_momentum_intervention_design,terminal_without_run,has_recorded_metric,completed_position_intervention,completed_momentum_intervention
exp345_exp209_time_varying_gr_affine_calibration_hmm,/home/kento/work/kaggle/ROGII/experiments/exp345_exp209_time_varying_gr_affine_calibration_hmm/config.yaml,,stage_0_full_failed_closed,pf_beam,stage_0_full_failed_closed,null,True,"[[""model.fixed_exp209_hmm.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,False,False,False
exp346_exp209_observed_only_finite_sigma_gr_hmm,/home/kento/work/kaggle/ROGII/experiments/exp346_exp209_observed_only_finite_sigma_gr_hmm/config.yaml,,train_side_observed_only_finite_sigma_gate_failed_closed,pf_beam,train_side_observed_only_finite_sigma_gate_failed_closed,13.29502664360867,True,"[[""model.fixed_hmm.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,True,False,False
exp347_prefix_gr_unary_batched_window_exact_ssm,/home/kento/work/kaggle/ROGII/experiments/exp347_prefix_gr_unary_batched_window_exact_ssm/config.yaml,,stage0_technical_parity_failed_branch_closed,ensemble,stage0_technical_parity_failed_branch_closed,null,True,"[[""model.state_space.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,False,False,False
exp348_prefix_gr_unary_window_path_ranking_ssm,/home/kento/work/kaggle/ROGII/experiments/exp348_prefix_gr_unary_window_path_ranking_ssm/config.yaml,,stage0_failed_branch_closed,ensemble,stage0_failed_branch_closed,null,True,"[[""model.state_space.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,False,False,False
exp350_exp345_bidirectional_gr_affine_smoother,/home/kento/work/kaggle/ROGII/experiments/exp350_exp345_bidirectional_gr_affine_smoother/config.yaml,,stage_0_failed_closed,pf_beam,stage_0_failed_closed,14.367548323818495,True,"[[""model.fixed_exp209_hmm.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,True,False,False
exp355_exp226_dip_rate_prior_on_exp209,/home/kento/work/kaggle/ROGII/experiments/exp355_exp226_dip_rate_prior_on_exp209/config.yaml,,stage1_completed_scientific_gate_failed_closed,pf_beam,stage1_completed_scientific_gate_failed_closed,11.291976615843922,True,"[[""model.stage_1.hmm.sig_p"", 0.02], [""model.fixed_parent.sig_p"", 0.02]]",2,"[0.02, 0.02]","[0.35, 0.35]","[0.998, 0.998]",[],[],[],[],[],False,False,False,True,False,False
exp356_exp226_donor_covariance_sig_r_on_exp209,/home/kento/work/kaggle/ROGII/experiments/exp356_exp226_donor_covariance_sig_r_on_exp209/config.yaml,,blocked_donor_support_non_degeneracy_evidence_required,pf_beam,blocked_donor_support_non_degeneracy_evidence_required,null,True,"[[""model.fixed_parent.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,False,False,False
exp357_exp226_huber_emission_independent_audit,/home/kento/work/kaggle/ROGII/experiments/exp357_exp226_huber_emission_independent_audit/config.yaml,,stage_1_override_completed_guard_failed_closed,pf_beam,stage_1_override_completed_guard_failed_closed,9.737195157482754,True,"[[""model.hmm.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,True,False,False
exp358_exp209_missing_distance_emission_downweight,/home/kento/work/kaggle/ROGII/experiments/exp358_exp209_missing_distance_emission_downweight/config.yaml,,stage_1_completed_scientific_gate_failed_closed,pf_beam,stage_1_completed_scientific_gate_failed_closed,12.012569787442315,True,"[[""model.fixed_parent.sig_p"", 0.02], [""model.fixed_hmm.sig_p"", 0.02]]",2,"[0.02, 0.02]","[0.35, 0.35]","[0.998, 0.998]",[],[],[],[],[],False,False,False,True,False,False
exp362_segment_local_donor_slope_exact_hmm,/home/kento/work/kaggle/ROGII/experiments/exp362_segment_local_donor_slope_exact_hmm/config.yaml,,completed_postrun_support_audit_failed_closed,pf_beam,completed_postrun_support_audit_failed_closed,11.161677222752134,True,"[[""model.hmm.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,True,False,False
exp364_signed_curvature_exact_hmm,/home/kento/work/kaggle/ROGII/experiments/exp364_signed_curvature_exact_hmm/config.yaml,,completed_stage0_gate_failed_closed,pf_beam,completed_stage0_gate_failed_closed,"{""blocks"": 13631, ""decision"": ""STAGE0_FAIL_CLOSE_WITHOUT_RESCUE"", ""exact_hmm_well_runs"": 0, ""kernel_id_no"": 128529795, ""kernel_version"": 1, ""mrr_gain_vs_zero_first"": 0.25257379013523107, ""passed"": false, ""passing_folds"": 3, ""projected_peak_rss_gb"": 4.880433455, ""projected_runtime_seconds"": 33857.604, ""real_minus_circular_top1"": 0.0030812119433644147, ""scientific_pass"": false, ""selected_path_rmse_gain_vs_zero_ft"": 1.844152720349058, ""technical_pass"": true, ""top1_accuracy"": 0.5501430562687991, ""wells_scored"": 772}",True,"[[""model.fixed_from_exp209.sig_p"", 0.02]]",1,[0.02],[],[0.998],[],[],[],[],[],False,False,False,True,False,False
exp365_bounded_gr_registration_offset_hmm,/home/kento/work/kaggle/ROGII/experiments/exp365_bounded_gr_registration_offset_hmm/config.yaml,,completed_stage0_gate_failed_closed,pf_beam,completed_stage0_gate_failed_closed,null,True,"[[""model.fixed_from_exp209.sig_p"", 0.02]]",1,[0.02],[],[0.998],[],[],[],[],[],False,False,False,False,False,False
exp374_exp209_student_t_exact_hmm_emission,/home/kento/work/kaggle/ROGII/experiments/exp374_exp209_student_t_exact_hmm_emission/config.yaml,,terminal_closed_tail_gate_failed_no_rescue,pf_beam,terminal_closed_tail_gate_failed_no_rescue,11.720478702142103,True,"[[""model.fixed_hmm.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,True,False,False
exp389_exp209_huber_exact_hmm_emission,/home/kento/work/kaggle/ROGII/experiments/exp389_exp209_huber_exact_hmm_emission/config.yaml,,terminal_closed_tail_gate_failed_no_rescue,pf_beam,terminal_closed_tail_gate_failed_no_rescue,11.852741129500146,True,"[[""model.fixed_hmm.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,True,False,False
