well,episodes,episode_rows,suffix_rows,episode_sse,suffix_rmse_ft,suffix_max_abs_error_ft,last_known_tvt,last_known_md,shard_index
91db7070,1,2862,4073,5456332.572178841,36.66801460743469,61.2978515625,12029.18,13146.0,1
925a7cd1,1,330,4517,47859.76164531708,6.571963896921471,14.849609375,12096.4,13239.0,0
9283ae69,2,2513,3371,952411.869345665,17.224137199360143,31.572265625,10981.86,11722.0,1
9298ad5b,2,1433,3964,403866.4723625183,10.963321086197539,24.7958984375,11147.6,12378.0,0
9314ff13,1,167,2748,18908.327481269836,4.1075947040360985,11.423828125,11995.94,12818.0,3
93209a3d,3,1180,4697,161456.36792564392,8.13003532128897,12.845703125,11871.78,13315.0,2
939d9c34,2,2174,5101,787127.8030519485,12.967652598762593,42.7021484375,11860.97,12145.0,3
93f5d2e6,1,1195,3691,2291241.537584305,25.199919610186196,59.8125,11037.89,12062.0,1
940a48d9,1,140,3963,22047.813532829285,5.637723043646765,13.873046875,10918.16,11852.0,0
940e709a,1,2666,3348,1025042.7282133102,17.76033565804408,25.720703125,11031.33,11817.0,0
94467f50,1,996,3035,941897.4141597748,17.77596923215259,48.0224609375,10764.77,11984.0,0
94d813a4,1,2303,4847,1507214.4108695984,18.23775555485469,30.2998046875,12740.53,13845.0,3
95b559e7,1,234,2887,36239.37132835388,5.205305872640082,14.326171875,11940.93,13017.0,0
96ae5806,4,3310,9839,1110395.64300251,11.463064159106175,28.73046875,12120.82,13125.0,3
96b7eea1,1,914,4332,240410.55028629303,8.220845620807102,22.0595703125,11126.92,12226.0,3
974802e7,1,338,5843,54995.74789714813,4.909646834625231,13.6357421875,10092.6,11224.0,0
98177ced,1,1147,4772,585388.4120969772,11.94436282834875,26.71484375,12663.64,13702.0,1
9896fc0b,1,376,3595,124833.07452583313,7.441878832455212,27.3544921875,10977.98,11983.0,3
992c99e8,1,456,4904,59793.83865737915,5.6885356578339055,12.53515625,11389.55,12610.0,3
992ce078,2,577,2879,95886.85671520233,8.392885813979158,19.044921875,11989.02,12724.0,0
995ff498,1,522,4526,156218.71860408783,7.004445959418267,22.2001953125,11214.69,12173.0,3
9a6b0392,1,375,4255,41612.381227493286,5.497960405063459,10.763671875,10626.66,11659.0,1
9a95e33f,2,3468,6447,1475514.5265398026,15.558778764139333,50.6796875,11500.37,12292.0,2
9ab94eeb,2,2409,4442,1162827.4479961395,16.579056287759116,30.8740234375,10983.39,12117.0,3
9ad5410a,1,422,4205,51487.74311256409,5.635497979701376,11.935546875,11901.57,13035.0,1
9af1ffd0,1,518,3525,69090.93020820618,7.155595028699921,12.8623046875,10813.69,11884.0,2
9b5b61c1,2,2386,5532,668724.4285745621,11.47245852659955,23.75,11132.91,11943.0,1
9b9e3b49,2,891,5118,201376.65598869324,7.817758202433247,19.6279296875,11913.23,12900.0,0
9c350a6a,3,1413,6052,301150.0724363327,7.895773643020192,24.423828125,11396.99,12790.0,1
9d3ec64c,2,593,3480,85025.66110420227,6.775089173143293,13.7578125,10811.14,11493.0,3
9d4272e3,2,2019,4030,965306.9218826294,16.14150104632095,29.3798828125,12500.21,13492.0,3
9dede370,2,2825,6297,765814.9751310349,11.670491128168457,25.7744140625,12201.56,13162.0,3
9def2eb2,3,1632,6003,314926.3812599182,8.557207133041437,21.65625,11437.97,12736.0,2
9df1b1f9,6,1403,4701,178271.59072685242,9.387407871900391,16.2841796875,11989.71,13384.0,2
9dfff011,1,1418,4319,591843.6065568924,11.921605440155187,27.7314453125,11419.13,12519.0,2
9e3e364d,2,3797,4290,702064.5234355927,13.002990706213915,18.234375,11394.6,12910.0,0
9efc812e,1,3511,4450,1433757.846329689,18.13088564292797,25.8115234375,11167.54,12389.0,3
9f0c7bae,2,1350,2542,301558.6647281647,11.87790462536622,21.6611328125,12791.0,14070.0,0
9ffce529,1,146,5212,24089.072088241577,3.190900777717011,14.4716796875,12054.09,13253.0,0
a056d01e,1,253,6557,65394.2122631073,4.112815635949356,19.8251953125,11730.37,12625.0,1
a0b83014,1,129,5035,13815.448300361633,3.6582018484757466,10.6982421875,11396.69,12433.0,2
a0e92ed6,4,1012,4897,213884.10809326172,7.790524333464451,20.697265625,11956.48,12893.0,1
a15bc102,2,484,3236,56275.16706943512,6.778304237101802,12.3603515625,10944.61,12035.0,2
a247e7cf,1,574,5674,77227.31505680084,5.0053870956665465,13.0654296875,10976.45,11939.0,0
a2e8e7f6,3,2970,4760,1047028.7805423737,15.140111117473374,28.880859375,10775.26,11533.0,0
a3518960,2,2933,4967,914764.6976480484,14.01104184015111,26.494140625,12147.37,13451.0,1
a4f989c2,1,4469,5385,2541484.332971573,21.85169804809425,30.427734375,11170.57,12132.0,1
a5aa7973,2,664,4616,146273.74084949493,7.268953297339801,23.21484375,10953.87,12112.0,2
a5e6f7dc,3,1797,5649,419737.12703323364,9.915418577692575,22.7744140625,11402.85,12257.0,2
a612d5a0,1,146,5329,17281.060123443604,4.216008166301427,12.224609375,11145.74,12132.0,1
a622ce4d,1,185,6298,32854.59388542175,6.049178253700864,15.5986328125,11393.24,12410.0,1
a645da9a,1,220,5153,33636.517437934875,6.944369486978966,15.591796875,12022.35,12856.0,2
a692b17e,1,274,3566,38794.71016120911,4.793388588843615,13.4580078125,11174.29,12135.0,1
a6ed2eff,1,413,5275,81662.9981250763,5.631501800708704,16.947265625,11314.65,12610.0,0
a6f967fb,1,2618,4670,683527.9714746475,12.52012734983794,20.48828125,12677.94,14000.0,0
a76db406,1,4593,4672,1499979.3881673813,17.946808193090696,30.455078125,10770.32,12008.0,1
a79fd2e7,1,607,4404,120290.32420444489,5.944363086778421,19.2421875,11964.67,13022.0,1
a85bb86f,1,173,3099,23563.701395988464,4.531916721914921,12.759765625,11142.83,12113.0,3
a85e4bc3,2,781,4581,133596.83595371246,7.2796145525696625,16.6494140625,10083.11,11086.0,2
a87433c9,2,2703,5721,1327976.1263990402,15.449366656280501,44.3134765625,11899.42,12817.0,3
a8ed028a,2,3050,5538,646246.679104805,11.206413648507569,19.4130859375,12822.85,13961.0,3
aaaf3c03,2,644,2997,117591.75019168854,8.678409846773224,21.7705078125,11995.84,12634.0,2
