episode_id,well,start_row_idx,end_row_idx_exclusive,start_suffix_offset,rows,suffix_rows,audit_start_row_idx,audit_start_suffix_offset,start_suffix_fraction,episode_suffix_fraction,rows_from_last_within5_to_episode_start,rows_from_episode_end_to_next_within5,pre128_error_slope_ft_per_row,pre128_error_start_ft,pre128_error_end_ft,mean_error_ft,rmse_ft,error_std_ft,error_slope_ft_per_row,error_sign_consistency,max_abs_error_ft,episode_sse,last_known_tvt,last_known_md,episode_start_md_since,episode_end_md_since,shard_index
19137a89:001,19137a89,5280,5889,3589,609,6267,5152,3461,0.5726823041327589,0.09717568214456677,269,113.0,-0.005876354978233439,-8.2265625,-8.7392578125,-13.802954061473727,14.044672386877924,2.5944713587891446,-0.006880105279245979,1.0,19.5166015625,120126.96887493134,11041.54,11747.0,3590.0,4198.0,3
197f8a5a:000,197f8a5a,3346,4639,1408,1293,6310,3218,1280,0.2231378763866878,0.20491283676703645,66,60.0,-0.06794988565492098,-1.4951171875,-9.9716796875,-22.282300578837972,23.754045377477873,8.231266774293903,0.005365797249909713,1.0,37.0869140625,729581.2906312943,10949.52,11996.0,1409.0,2701.0,0
19fb4f7b:000,19fb4f7b,2563,3650,260,1087,5620,2435,132,0.046263345195729534,0.19341637010676158,175,17.0,0.01983616033811487,7.216796875,9.935546875,17.327820441869825,17.621689472402025,3.204774344019025,-0.0033656060739754245,1.0,22.8896484375,337539.52262973785,12766.14,13998.0,261.0,1347.0,3
1a68190b:000,1a68190b,2826,6502,798,3676,4474,2698,670,0.178363880196692,0.821636119803308,52,,-0.06140060718189205,-1.529296875,-9.9580078125,-28.88815862180359,30.26413368757756,9.021755887912388,0.002738131136433091,1.0,42.130859375,3366913.788171768,12793.43,14131.0,799.0,4474.0,1
1aaf1da0:000,1aaf1da0,2621,2851,1104,230,4804,2493,976,0.22980849292256453,0.04787676935886761,760,5.0,-0.013863382442511387,10.5615234375,9.9013671875,13.280753226902174,13.348103654248819,1.3392030804542598,0.01682906677496369,1.0,15.4755859375,40979.53036785126,11897.74,12886.0,1105.0,1334.0,0
1aaf1da0:001,1aaf1da0,3817,4796,2300,979,4804,3689,2172,0.4787676935886761,0.20378850957535388,153,,-0.023835044403998237,-6.888671875,-9.95703125,-12.96602380458376,13.070883845138015,1.6523411246038877,0.0033533768350730944,1.0,16.9228515625,167260.19639873505,11897.74,12886.0,2301.0,3279.0,0
1aaf1da0:002,1aaf1da0,6124,6321,4607,197,4804,5996,4479,0.958992506244796,0.041007493755203996,2460,,-0.002186443927501545,-8.7568359375,-9.9658203125,-11.929523913388325,11.963698838376628,0.9036310614793991,-0.015348161826163323,1.0,13.171875,28196.627709388733,11897.74,12886.0,4608.0,4804.0,0
1b1c5372:000,1b1c5372,3668,5792,2137,2124,4261,3540,2009,0.5015254635062192,0.4984745364937808,780,,0.008308283511240215,8.0,9.6259765625,37.350995137417605,38.88002312175779,10.796266030115508,0.011067953887297912,1.0,51.189453125,3210757.764442444,10870.68,11917.0,2138.0,4261.0,2
1b1eba53:000,1b1eba53,2544,6710,489,4166,4655,2416,361,0.10504833512352309,0.8949516648764769,111,,-0.05134808565316849,-3.80078125,-9.6728515625,-57.12728716282105,60.21289885531422,19.028038521531375,-0.013588083683116118,1.0,85.1943359375,15104221.223542213,12726.15,13874.0,490.0,4655.0,0
1b6ba517:000,1b6ba517,4421,5970,2407,1549,6597,4293,2279,0.36486281643171137,0.23480369865090192,889,1600.0,0.002762589649367389,9.1982421875,9.9921875,15.238412382989026,15.625696089309056,3.4573351473953244,0.00020403390192488406,1.0,23.95703125,378207.52394866943,12061.48,13403.0,2408.0,3956.0,2
1b6ba517:001,1b6ba517,6190,7060,4176,870,6597,6062,4048,0.6330150068212824,0.1318781264211005,2658,510.0,0.01375521017373907,8.5341796875,9.9921875,11.133598239942529,11.144848830220853,0.5006452636585406,0.00016207722702240912,1.0,12.28515625,108060.66024017334,12061.48,13403.0,4177.0,5046.0,2
1b6ba517:002,1b6ba517,8257,8611,6243,354,6597,8129,6115,0.9463392451114143,0.053660754888585724,16,,-0.016824026200343917,-4.4912109375,-9.9296875,-20.136944959392654,20.660789050181243,4.6229483966923,-0.04086363513310863,1.0,29.0048828125,151111.34427833557,12061.48,13403.0,6244.0,6597.0,2
1b82b665:000,1b82b665,3096,5364,1538,2268,3806,2968,1410,0.40409879138202837,0.5959012086179716,63,,-0.05901597782142694,-2.6923828125,-9.9365234375,-26.06573367917769,26.519676682044366,4.885773130871892,-0.00072664923504491,1.0,31.1767578125,1595069.0939941406,10845.95,11760.0,1539.0,3806.0,1
1bcb2fcf:000,1bcb2fcf,5955,6202,4277,247,4524,5827,4149,0.9454022988505747,0.05459770114942529,194,,-0.03889848408387315,-5.150390625,-9.978515625,-14.145543395748987,14.336957190451068,2.334939725091154,-0.032052403197884854,1.0,19.30859375,50770.44034576416,12555.66,13414.0,4278.0,4524.0,3
1beca81d:000,1beca81d,3087,6650,1473,3563,5036,2959,1345,0.29249404289118347,0.7075059571088165,91,,0.07021134381240987,1.5458984375,9.865234375,28.064382411240526,28.81185032536623,6.520211579922808,0.0028136498090910703,1.0,40.119140625,2957727.248407364,11368.71,12246.0,1474.0,5036.0,1
1d3fbf02:000,1d3fbf02,1955,4252,397,2297,2694,1827,269,0.1473645137342242,0.8526354862657758,81,,0.07206342439035032,2.52734375,9.9775390625,18.30014182901611,18.61608739265478,3.4151894308889013,0.0033194468451765422,1.0,27.0595703125,796045.3564357758,11761.8,12497.0,398.0,2694.0,3
1d78281a:000,1d78281a,3732,4399,1871,667,4949,3604,1743,0.3780561729642352,0.13477470195999192,121,508.0,-0.036453892516251606,-3.80078125,-9.9873046875,-13.415741836113193,13.50007034564941,1.5065756948274447,0.0029303762730500545,1.0,16.1220703125,121562.01685810089,12780.2,13799.0,1872.0,2538.0,2
1e30dedf:000,1e30dedf,5152,5474,3749,322,4071,5024,3621,0.9209039548022598,0.07909604519774012,238,,-0.019217496214277947,-7.1953125,-9.568359375,-21.29879779697205,21.67758033777302,4.0346873118374385,-0.04261899722356061,1.0,27.1728515625,151313.4315547943,10651.68,11727.0,3750.0,4071.0,3
1e5e3573:000,1e5e3573,5895,6186,4249,291,5480,5767,4121,0.7753649635036496,0.0531021897810219,63,,0.059641940234410766,3.15625,9.96875,11.944231905068728,11.999380540316624,1.1491116348151376,-0.0014003903111288595,1.0,14.0732421875,41899.67380523682,12215.14,13087.0,4250.0,4540.0,0
1e5e3573:001,1e5e3573,6820,7001,5174,181,5480,6692,5046,0.9441605839416058,0.03302919708029197,988,,0.036583582443798925,5.576171875,9.9775390625,12.49674659012431,12.562709485644552,1.2856882526180455,-0.011941667836652296,1.0,14.6025390625,28565.72220134735,12215.14,13087.0,5175.0,5355.0,0
1fdbba44:000,1fdbba44,1516,1684,94,168,4911,1422,0,0.019140704540826715,0.03420891875381796,39,31.0,0.13196617170285016,-0.2666015625,9.9951171875,12.570963541666666,12.599749957683096,0.8512194959131418,0.004883672598273445,1.0,13.1962890625,26670.621431350708,12803.78,13846.0,95.0,262.0,3
1fdbba44:001,1fdbba44,2798,6333,1376,3535,4911,2670,1248,0.28018733455508044,0.7198126654449196,268,,0.02203188918706939,-10.2060546875,-9.80078125,-28.976003083009193,30.546013412517294,9.666963366596981,-0.008287733253298499,1.0,40.1455078125,3298363.336630821,12803.78,13846.0,1377.0,4911.0,3
1fee2b62:000,1fee2b62,5130,6323,3448,1193,4641,5002,3320,0.7429433311786253,0.2570566688213747,55,,-0.02459245425749777,-4.6376953125,-9.9794921875,-16.86476533031224,17.56818777120889,4.921474567439309,-0.011331071963201352,1.0,26.6767578125,368208.9773263931,12510.64,13252.0,3449.0,4641.0,1
200d233d:000,200d233d,3069,5896,1099,2827,3926,2941,971,0.27992868059093223,0.7200713194090678,76,,-0.0606717562155941,-2.6259765625,-9.9599609375,-14.438930126901308,14.599160683113912,2.1570325546548474,0.0012809671827794479,1.0,19.23046875,602534.0377254486,12039.88,13343.0,1100.0,3926.0,3
201661b5:000,201661b5,3358,8136,1177,4778,5955,3230,1049,0.19764903442485307,0.802350965575147,140,,-0.012373648508851115,-7.1455078125,-10.0,-26.171783638878715,27.513803302025146,8.48805709819687,-0.005855581258781885,1.0,42.23828125,3616990.7800970078,12188.4,13845.0,1178.0,5955.0,0
20402d71:000,20402d71,3382,3619,1824,237,6372,3254,1696,0.2862523540489642,0.0371939736346516,126,1010.0,-0.032415993897780854,-4.828125,-9.9990234375,-11.017149591244726,11.026574837370655,0.4558152347956933,0.0024998546756317846,1.0,11.8544921875,28815.728576660156,10966.39,11916.0,1825.0,2061.0,1
20402d71:001,20402d71,3818,4072,2260,254,6372,3690,2132,0.354676710608914,0.039861895794099184,562,557.0,-0.006425520501017155,-8.9482421875,-9.994140625,-10.75086122047244,10.758178736114704,0.39672753412437695,0.00040440775996060195,1.0,11.3994140625,29397.55606842041,10966.39,11916.0,2261.0,2514.0,1
20402d71:002,20402d71,4227,4489,2669,262,6372,4099,2541,0.41886377903327054,0.04111738857501569,971,140.0,-0.0017601785762823888,-9.6962890625,-10.0,-11.014614891459924,11.03024966484728,0.5870830109046233,-0.0008444100409695228,1.0,12.123046875,31876.59880924225,10966.39,11916.0,2670.0,2931.0,1
20402d71:003,20402d71,4984,5464,3426,480,6372,4856,3298,0.5376647834274952,0.07532956685499058,64,,-0.054833253428430005,-3.818359375,-9.9091796875,-11.235467529296875,11.244724186047975,0.4561703830893205,0.0017736105544925596,1.0,12.2236328125,60693.034569740295,10966.39,11916.0,3427.0,3906.0,1
20402d71:004,20402d71,5997,6324,4439,327,6372,5869,4311,0.6966415568110483,0.051318267419962336,1077,,-0.029309814654302956,-6.986328125,-9.9970703125,-10.940375931766056,10.950872875487105,0.4793654208568452,0.0007255891268084707,1.0,12.3671875,39214.36867237091,10966.39,11916.0,4440.0,4766.0,1
20402d71:005,20402d71,6377,7903,4819,1526,6372,6249,4691,0.7562774639045825,0.23948524795982423,1457,,0.020680182889537744,-10.134765625,-9.96875,-15.75775938421527,15.941494338213118,2.4133505597936917,-0.0015869560480243523,1.0,18.6357421875,387804.27488803864,10966.39,11916.0,4820.0,6345.0,1
2043abc5:000,2043abc5,2052,4956,497,2904,6958,1924,369,0.07142857142857142,0.4173613107214717,12,94.0,-0.013310752188279677,-4.0400390625,-9.8701171875,-19.083474907993285,20.00955904583567,6.016929336860686,-0.0007904100915451355,1.0,33.5634765625,1162710.644118309,11420.99,12414.0,498.0,3401.0,3
2043abc5:001,2043abc5,6332,8513,4777,2181,6958,6204,4649,0.6865478585800517,0.31345214141994826,78,,-0.062272624204587075,-2.970703125,-9.9111328125,-20.471743269285877,21.428400187625947,6.331197526337021,-0.005478609282094319,1.0,33.9404296875,1001463.585764885,11420.99,12414.0,4778.0,6958.0,3
204cc64b:000,204cc64b,4893,5026,3244,133,4805,4765,3116,0.6751300728407909,0.027679500520291365,83,1297.0,0.0674576423168619,2.2490234375,9.978515625,10.68474653430451,10.687869713131652,0.2583611862191801,0.002700010353329899,1.0,11.0361328125,15192.66434764862,12558.35,13666.0,3245.0,3377.0,1
