model,feature,importance
lgb0,gr_d1,0.0
lgb0,gr_d2,0.0
lgb0,grwr_dwt_approx_best_is_default_candidate,0.0
lgb0,grwr_dwt_approx_minus_raw_default_candidate_cost,0.0
lgb0,grwr_dwt_approx_minus_raw_default_candidate_ncc,0.0
lgb0,grwr_dwt_minus_raw_ncc_gap_x_candidate_range,0.0
lgb0,grwr_dwt_minus_raw_ncc_gap_x_dwt_energy_ratio_w065,0.0
lgb0,grwr_raw_best_is_default_candidate,0.0
lgb0,grwr_rolling_median_11_best_is_default_candidate,0.0
lgb0,grwr_savgol_31_p2_best_is_default_candidate,0.0
lgb0,grwr_typewell_gr_missing_rate,0.0
lgb0,ll_candidate_tvt_likpf_mean_minus_likpf_mean_tvt,0.0
lgb0,ll_multiobs_ncc_hyb,0.0
lgb0,sc_trust,0.0
lgb1,slp_b_d_50,2276.4
lgb1,grwr_fft_rotation_ratio_x_log1p_md_since,2245.2
lgb1,nsel_top1_minus_anchor,2209.6
lgb1,dz,2111.2
lgb1,dx,2031.0
lgb1,dy,2022.6
lgb1,frac,1847.2
lgb1,dense_dist,1813.8
lgb1,nsel_top2_minus_anchor,1768.6
lgb1,dense_nb_std,1657.0
lgb1,grwr_gr_missing_rate,1638.0
lgb1,spatial_knn_dist,1634.4
lgb1,uproj_likpf_mean_resid_mad,1632.0
lgb1,slp_50,1613.0
lgb1,dense_std,1609.2
lgb1,uproj_pf_ancc_resid_mad,1581.6
lgb1,slp_b_d_all,1578.6
lgb1,slp_z,1527.8
lgb1,grwr_fft_dominant_frequency_norm,1509.2
lgb1,form_rng_d,1503.4
lgb1,pfx_rmse,1497.4
lgb1,uproj_pf_z_resid_mad,1471.2
lgb1,form_mean_d,1442.4
lgb1,form_std_d,1442.4
lgb1,cal_a,1440.4
lgb1,z,1435.0
lgb1,tvt_dense50_d,1417.0
lgb1,dense_ancc,1409.2
lgb1,nsel_pred_error_hmm_selfgr_boost_only_a070_c100_mean_tvt,1396.0
lgb1,tvt_dense_d,1389.8
lgb1,uproj_beam_mean_resid_mad,1379.8
lgb1,grwr_fft_rotation_energy_ratio,1377.4
lgb1,grwr_fft_dominant_energy_ratio,1369.6
lgb1,grwr_fft_high_frequency_ratio,1360.0
lgb1,beam_vcons_d,1357.4
lgb1,cal_b,1351.4
lgb1,tw_gr_mean,1349.2
lgb1,eval_len,1348.2
lgb1,spatial_ancc_d,1305.4
lgb1,uproj_beam_med_resid_mad,1273.4
lgb1,known_len,1272.4
lgb1,grwr_fft_notch_residual_energy_ratio,1268.8
lgb1,beam_vloose_d,1242.2
lgb1,grwr_known_prefix_fraction,1240.2
lgb1,beam_vs_spatial,1224.8
lgb1,spatial_vs_dense,1216.4
lgb1,tvt_densew_d,1205.2
lgb1,slp_all,1153.0
lgb1,pf_vs_spatial,1146.0
lgb1,md_since,1144.0
lgb1,dxy,1126.0
lgb1,beam_stiff_d,1121.6
lgb1,frac2,1117.6
lgb1,beam_cons_d,1117.2
lgb1,dxdmd,1071.2
lgb1,beam_mid_d,1059.6
lgb1,pf_vs_dense,1058.6
lgb1,nsel_pred_error_exp226_v6_k16_geometry_gr_u_projection,1048.4
lgb1,ll_learned_prob_likpf_mean,1045.8
lgb1,ll_learned_pred_abs_error_beam_mean,1041.0
lgb1,beam_loose_d,990.6
lgb1,beam_sm5_d,982.6
lgb1,tw_range,963.4
lgb1,nsel_pred_error_blend_likpf_hmm_w500,962.0
lgb1,ktvt_std,920.0
lgb1,beam_std_d,912.4
lgb1,frm_rmse_ANCC,898.4
lgb1,nsel_pred_error_beam_mean,896.6
lgb1,pf_z_delta,891.6
lgb1,dydmd,876.8
lgb1,beam_mean_d,869.0
lgb1,ktvt_range,837.6
lgb1,uproj_diff_pf_z_minus_likpf_mean,831.0
lgb1,likpf_mean_d,812.8
lgb1,uproj_diff_beam_mean_minus_beam_med,812.4
lgb1,ll_learned_prob_top1_value,792.2
lgb1,frm_rmse_ASTNU,776.2
lgb1,frm_rmse_EGFDU,764.0
lgb1,grwr_known_prefix_rows_log1p,752.2
lgb1,pf_vs_z,743.8
lgb1,uproj_likpf_mean_resid,741.0
lgb1,beam_med_d,725.0
lgb1,uproj_likpf_mean_corr,719.0
lgb1,frm_rmse_ASTNL,708.4
lgb1,ll_learned_error_top1_value,704.4
lgb1,uproj_diff_pf_z_minus_beam_med,702.8
lgb1,uproj_diff_pf_z_minus_beam_mean,702.6
lgb1,uproj_diff_pf_ancc_minus_likpf_mean,694.6
lgb1,pf_ancc_delta,689.8
lgb1,sqrt_frac,673.0
lgb1,ll_candidate_tvt_beam_mean_minus_last_known_tvt,662.4
lgb1,frm_rmse_EGFDL,654.6
lgb1,uproj_absdiff_pf_z_beam_mean,645.0
lgb1,ll_learned_pred_abs_error_likpf_mean,630.4
lgb1,ll_learned_prob_beam_mean,629.2
lgb1,ll_learned_prob_weighted_tvt_minus_last_known_tvt,624.6
lgb1,nsel_pred_error_likpf_mean,620.8
lgb1,uproj_diff_beam_mean_minus_likpf_mean,615.2
lgb1,frm_rmse_BUDA,611.4
lgb1,nsel_error_top1,606.2
lgb1,nsel_error_top2,598.4
lgb1,nsel_pred_error_tvt_densew,590.2
lgb1,uproj_absdiff_pf_z_beam_med,582.2
lgb1,uproj_source_u_range,580.6
lgb1,nsel_pred_error_tvt_dense,576.2
lgb1,uproj_diff_pf_ancc_minus_beam_mean,569.6
lgb1,uproj_diff_beam_med_minus_likpf_mean,559.0
lgb1,nsel_pred_error_tvt_dense50,554.0
lgb1,uproj_source_u_std,552.4
lgb1,uproj_absdiff_pf_ancc_pf_z,540.6
lgb1,uproj_diff_pf_ancc_minus_beam_med,536.8
lgb1,uproj_absdiff_pf_z_likpf_mean,531.2
lgb1,ll_candidate_tvt_likpf_mean_minus_last_known_tvt,530.4
lgb1,pf_z,481.4
lgb1,dzdmd,478.8
lgb1,ll_learned_prob_top2_value,475.8
lgb1,nsel_pred_error_pf_ancc,470.8
lgb1,uproj_diff_pf_ancc_minus_pf_z,470.8
lgb1,uproj_absdiff_beam_mean_beam_med,470.6
lgb1,uproj_absdiff_pf_ancc_likpf_mean,460.8
lgb1,pf_ancc,430.8
lgb1,uproj_absdiff_pf_ancc_beam_mean,429.4
lgb1,uproj_absdiff_pf_ancc_beam_med,424.2
lgb1,ll_learned_prob_pf_ancc,423.0
lgb1,tda80,423.0
lgb1,ll_candidate_tvt_pf_ancc_minus_likpf_mean_tvt,416.6
lgb1,ll_candidate_tvt_pf_ancc_minus_last_known_tvt,409.2
lgb1,ll_learned_error_weighted_tvt_minus_last_known_tvt,408.4
lgb1,ll_learned_error_top2_value,407.4
lgb1,uproj_pf_ancc_corr,395.8
lgb1,tvtF_ASTNU,391.2
lgb1,uproj_pf_ancc_resid,386.8
lgb1,ll_learned_pred_abs_error_pf_ancc,382.2
lgb1,uproj_beam_mean_corr,380.0
lgb1,uproj_beam_mean_resid,375.8
lgb1,last_known_tvt,361.4
lgb1,uproj_absdiff_beam_med_likpf_mean,357.0
lgb1,uproj_absdiff_beam_mean_likpf_mean,353.6
lgb1,ll_candidate_tvt_beam_mean_minus_likpf_mean_tvt,352.4
lgb1,tvtFw_ASTNU,331.4
lgb1,nsel_top2_minus_top1,325.2
lgb1,uproj_beam_med_resid,324.4
lgb1,uproj_beam_med_corr,314.2
lgb1,uproj_pf_z_resid,305.4
lgb1,uproj_pf_z_corr,297.2
lgb1,dense_rmse,296.0
lgb1,pf_ancc_std,285.6
lgb1,tvtF50_ASTNU,284.2
lgb1,tvtF_ANCC,282.2
lgb1,tvtF_EGFDU,266.6
lgb1,tvtF_EGFDL,264.0
lgb1,nsel_top1_code,262.8
lgb1,tvtF_ASTNL,262.6
lgb1,grm101,252.2
lgb1,bw_early_ASTNU,249.6
lgb1,tvtFw_ANCC,244.2
lgb1,bw_early_ANCC,242.0
lgb1,tvtF_BUDA,240.0
lgb1,ll_learned_prob_weighted_tvt_minus_likpf_mean_tvt,239.8
lgb1,tvtF50_ANCC,233.8
lgb1,tvtFw_EGFDL,226.6
lgb1,tvtFw_ASTNL,217.8
lgb1,bw_ANCC,217.0
lgb1,tvtF50_EGFDL,214.0
lgb1,tvtF50_ASTNL,212.2
lgb1,tvtFw_EGFDU,207.6
lgb1,tvtFw_BUDA,205.8
lgb1,ll_learned_error_weighted_tvt_minus_likpf_mean_tvt,205.0
lgb1,bw_early_EGFDU,204.2
lgb1,bw_ASTNU,203.2
lgb1,tvtF50_BUDA,202.2
lgb1,tvtF50_EGFDU,198.0
lgb1,uproj_corr_std,197.0
lgb1,dense_bias,189.6
lgb1,grwr_dwt_detail_energy_ratio_w129,185.8
lgb1,uproj_beam_mean_abs_resid,184.0
lgb1,bww_ASTNU,180.2
lgb1,bww_ANCC,178.6
lgb1,bw_early_ASTNL,173.8
lgb1,uproj_corr_range,173.6
lgb1,bw_early_EGFDL,167.8
lgb1,uproj_likpf_mean_abs_resid,166.6
lgb1,tda40,163.8
lgb1,uproj_pf_z_abs_resid,163.2
lgb1,grwr_raw_std_w129,160.2
lgb1,bw_mid_ASTNU,158.4
lgb1,tdbc40,158.0
lgb1,bw_EGFDU,153.2
lgb1,uproj_beam_med_abs_resid,152.8
lgb1,bww_ASTNL,147.2
lgb1,nsel_top2_code,147.2
lgb1,uproj_pf_ancc_abs_resid,146.6
lgb1,bw50_ANCC,139.6
lgb1,bww_EGFDU,134.8
lgb1,bw50_ASTNU,131.6
lgb1,grwr_raw_minus_rolling_absmean_w129,130.6
lgb1,bw_ASTNL,130.2
lgb1,bw_mid_ANCC,127.2
lgb1,bw_early_BUDA,126.6
lgb1,bw_mid_ASTNL,120.6
lgb1,tda-40,119.0
lgb1,ll_candidate_tvt_sc_ens_minus_likpf_mean_tvt,116.8
lgb1,grwr_raw_minus_savgol_absmean_w129,115.4
lgb1,bw50_EGFDU,114.6
