well,suffix_rows,posterior_mean_rmse_ft,persistent_episodes,persistent_rows,persistent_row_fraction,has_persistent_episode,top1_joint_path_log_probability,top5_joint_path_log_mass,top1_joint_path_log10_probability,top5_joint_path_log10_mass,top1_surprisal_nats_per_row,top5_surprisal_nats_per_row,top5_vs_top1_log_mass_gain
a692b17e,3566,10.219938802080511,2,1120,0.3140773976444195,True,-787.4118740431879,-785.8027290828142,-341.96863188205486,-341.2697891051821,0.22081095738732134,0.2203597109037617,1.6091449603737829
a6b8ac67,5453,32.11752125484812,1,4916,0.9015220979277462,True,-1342.8846259068134,-1341.2756761326016,-583.2073828640416,-582.5086248554419,0.2462652899150584,0.24597023219009748,1.608949774211851
a6ed2eff,5275,8.123349540273463,1,740,0.14028436018957346,True,-1136.5309455362526,-1134.9354005232997,-493.5891181586797,-492.896181763926,0.2154561034191948,0.21515363043095728,1.5955450129529254
a6f967fb,4670,12.785495553911945,1,2694,0.5768736616702356,True,-1088.907292478871,-1087.2985867737411,-472.90642842778396,-472.2077764170398,0.23317072644087175,0.2328262498444842,1.608705705129978
a76db406,4672,9.300661993744571,4,2068,0.4426369863013699,True,-1201.099455734833,-1199.4903107655196,-521.630865842637,-520.9320230618818,0.2570846437788598,0.2567402206261814,1.6091449693135473
a7744f5b,4377,2.0034748810320475,0,0,0.0,False,-990.7794906253524,-989.1711754218218,-430.2900655615051,-429.5915831434507,0.22636040452943854,0.22599295760151286,1.6083152035306512
a783cc24,1889,2.4809539954956294,0,0,0.0,False,-477.8473663045859,-476.2478760426551,-207.5264743780835,-206.83182458346897,0.25296313727082365,0.2521163981168105,1.5994902619307823
a79fd2e7,4404,11.561132342100498,2,1471,0.3340145322434151,True,-975.079466609154,-973.4710293949314,-423.47163176552164,-422.7730963588969,0.22140768996574794,0.22104246807332684,1.6084372142225902
a7fc3e6b,4764,10.259854011915591,1,899,0.18870696893366917,True,-1039.8110752357588,-1038.2019302753852,-451.58421219677706,-450.88536941990435,0.218264289512124,0.21792651769004726,1.6091449603736692
a85bb86f,3099,3.2869976148981057,0,0,0.0,False,-692.760270585437,-691.1552101052013,-300.8619627970589,-300.16489388737153,0.22354316572618166,0.22302523720722855,1.605060480235693
a85e4bc3,4581,9.411566997643133,1,963,0.21021611001964635,True,-1003.7240325138358,-1002.1147899091332,-435.911808674439,-435.212923491173,0.21910587917787291,0.21875459286381427,1.609242604702672
a87433c9,5721,3.803578468037022,1,274,0.0478937248732739,True,-1227.2622427248302,-1225.655098639115,-532.993219863603,-532.2952460555534,0.2145188328482486,0.2142379127144057,1.6071440857151629
a8ed028a,5538,5.509044464618662,1,495,0.08938244853737812,True,-1266.0967076489649,-1264.488465815741,-549.8588136878201,-549.160363134085,0.22861984609045952,0.22832944489269427,1.6082418332239286
a959858c,4404,2.39108163994652,0,0,0.0,False,-992.5394524906236,-990.9301366425415,-431.0544072879526,-430.35549029549105,0.2253722644165812,0.2250068430160176,1.609315848082133
a9c9b150,3986,35.7456719256379,1,3582,0.8986452584044154,True,-829.8676700227177,-828.2644607247878,-360.4069498007749,-359.71068484934796,0.2081956021130752,0.2077933920533838,1.6032092979298795
aa95015b,4300,4.551133456636482,0,0,0.0,False,-918.115858700074,-916.5186964882363,-398.73265118130774,-398.03901244600223,0.2135153159767614,0.213143882904241,1.5971622118377127
aaaf3c03,2997,4.117092938735067,1,169,0.05638972305638972,True,-718.5925005400507,-716.9833311699357,-312.0807577216035,-311.38190434371484,0.23977060411746767,0.2392336774007126,1.6091693701149552
aaeffccb,2712,4.619714343426535,0,0,0.0,False,-589.145683285537,-587.5497729061751,-255.86271928802955,-255.16962421666057,0.2172366088810977,0.2166481463518345,1.5959103793618397
ab112491,5185,31.315196810950933,1,4275,0.8244937319189971,True,-1176.7857434799578,-1175.1772574495421,-511.07155477576123,-510.37299816853323,0.2269596419440613,0.22664942284465614,1.6084860304156336
ab18d3fc,5694,7.070124828786015,2,1093,0.1919564453811029,True,-1239.6143729058194,-1238.006643426341,-538.3576818409572,-537.6594537996266,0.217705369319603,0.21742301430037603,1.6077294794783938
ab3ced07,4250,12.397202637086986,2,1416,0.3331764705882353,True,-916.145356333304,-914.5436740189116,-397.87687287684224,-397.1812710859396,0.21556361325489506,0.2151867468279792,1.6016823143924057
ab6fe95d,5491,7.775423849749549,2,1303,0.23729739573848116,True,-1173.0793601805813,-1171.4776714506536,-509.46189296102364,-508.7662883838894,0.21363674379540726,0.2133450503461398,1.6016887299276732
ab94878e,6004,8.451716496047247,4,1511,0.2516655562958028,True,-1088.5560483872157,-1086.9473912523233,-472.7538850569769,-472.05525414001886,0.18130513797255424,0.18103720707067344,1.6086571348923826
abf460d2,3217,19.51366448751628,1,2275,0.7071806030463165,True,-695.7378028604065,-694.1303661601052,-302.155088633767,-301.4569877448173,0.21626913362151276,0.21576946414675324,1.6074367003013776
ac6f01d5,5004,6.149026709128292,2,417,0.08333333333333333,True,-1200.6787428482105,-1199.0749145378402,-521.4481525575112,-520.7516187723973,0.23994379353481424,0.23962328428014393,1.603828310370318
ad2133a8,5729,15.099216502961951,2,1922,0.33548612323267585,True,-1237.521273527443,-1235.9122993886272,-537.4486603308533,-536.7498917408404,0.21600999712470642,0.21572914983219185,1.6089741388159382
add9c322,3932,21.256793375133984,1,3717,0.9453204476093591,True,-604.8045220280828,-603.1950841156487,-262.66326654693006,-261.964296542594,0.1538160025503771,0.1534066846682728,1.6094379124341458
ae069086,4770,8.130014066358255,1,1100,0.23060796645702306,True,-1097.589865520962,-1095.9820385240973,-476.677221988686,-475.9789515960926,0.23010269717420584,0.229765626524968,1.60782699686456
ae0784a8,7823,2.1507804518123868,0,0,0.0,False,-1464.9855592727122,-1463.3761213602781,-636.2351444600881,-635.5361744557521,0.1872664654573325,0.1870607339077436,1.6094379124340321
ae35f33a,4450,5.970817066925157,1,406,0.09123595505617978,True,-939.201776793781,-937.7130331787957,-407.8901490552687,-407.2435959183118,0.21105657905478226,0.21072202992781927,1.4887436149853102
ae8959c3,4518,2.6188241677796174,0,0,0.0,False,-1191.4449732452,-1189.8357794644498,-517.4379773717578,-516.739113392465,0.26371070678291275,0.26335453286065735,1.6091937807500472
aed44918,2719,21.22505979421336,1,2196,0.8076498712762045,True,-577.8285627080837,-576.2243310373924,-250.94775627020786,-250.25104730793217,0.21251510213611025,0.21192509416601413,1.6042316706913198
aee6393a,5865,20.976607543778147,1,5155,0.8789428815004262,True,-1265.615435397969,-1264.0074131059762,-549.6497998049193,-548.9514445967295,0.21579120808149513,0.21551703548268988,1.608022291992711
af7a59ce,3024,0.49094799077521156,0,0,0.0,False,-649.7799135568451,-648.1719273461898,-282.1958309093098,-281.49749137104567,0.21487431003863927,0.2143425685668617,1.6079862106553264
aff4e561,6026,7.103205413534271,1,1198,0.19880517756388982,True,-1298.110311385432,-1296.5067490442984,-563.762145136405,-563.0657268602629,0.21541823952629138,0.215152132267557,1.603562341133511
b04b58a3,3402,3.497797945653971,0,0,0.0,False,-583.9744461210615,-582.3678024348285,-253.61687952288483,-252.91912303556913,0.1716562157910234,0.17118395133298897,1.606643686233042
b0d42b0d,4971,22.90543000317309,1,4453,0.895795614564474,True,-1055.756091901322,-1054.1966555268064,-458.5090449484865,-457.83179033615517,0.21238304001233593,0.2120693332381425,1.5594363745155988
b0f53bf4,2755,5.934228377008344,1,453,0.16442831215970963,True,-577.8865841706106,-576.2831438022412,-250.97295467121523,-250.27658936717148,0.20975919570621074,0.20917718468320914,1.6034403683694336
b19b0395,5813,55.97093048462987,1,4562,0.7847927060037846,True,-1467.8581071804806,-1466.2492551119683,-637.4826761654347,-636.7839605898811,0.2525130065681198,0.25223623862239264,1.6088520685123058
b1efb8a4,5998,7.653165719445967,1,1503,0.25058352784261423,True,-1309.080849474976,-1307.4752910832303,-568.5265892922034,-567.8293041422949,0.2182528925433438,0.21798521025062192,1.605558391745717
b32902c0,3808,13.244018323215045,1,1673,0.43933823529411764,True,-798.6211782456988,-797.1013198798017,-346.83677084318026,-346.17670474159667,0.20972194806872343,0.20932282559868742,1.5198583658971074
b32e4903,5770,1.5671423482806788,0,0,0.0,False,-1241.6510959122486,-1240.0418044770367,-539.2422194038148,-538.5433130137282,0.21519083118063234,0.21491192451941712,1.6092914352118441
b3388334,6080,7.643137682657639,3,1518,0.24967105263157896,True,-1488.514721168013,-1486.9054785633102,-646.4537296350255,-645.7548444517595,0.2448215001921074,0.2445568221321234,1.6092426047027857
b37fd114,8161,4.393996938792556,0,0,0.0,False,-1946.7243993334264,-1945.116133017018,-845.4516644169295,-844.7532032302825,0.23853993374996035,0.2383428664400218,1.6082663164083897
b38e3116,6211,3.1180776826232512,0,0,0.0,False,-1424.0847636253593,-1422.4815427766373,-618.4721546049902,-617.775884637118,0.2292842961882723,0.22902617014597285,1.6032208487220032
b4d8dd4f,4259,26.707591100320187,1,1339,0.31439305001173984,True,-1044.746231241263,-1043.1377449040701,-453.7275232172992,-453.02896647683957,0.24530317709351093,0.24492550948675043,1.6084863371929714
b4f37e6e,2992,0.8759609199838072,0,0,0.0,False,-713.1588805117331,-711.5500527013345,-309.72096652654614,-309.02226148615756,0.238355240812745,0.23781753098306635,1.6088278103985658
b56bc0aa,5602,5.537163568552723,0,0,0.0,False,-1192.5425920052412,-1190.9357891348004,-517.9146671424772,-517.2168415223384,0.2128780064272119,0.21259117978129247,1.606802870440788
b585b4fa,4294,1.726465149297049,0,0,0.0,False,-983.217691648619,-981.6121318621358,-427.0060179926482,-426.30873223701275,0.22897477681616651,0.22860086908759567,1.6055597864832407
b5aa9634,7326,3.28348142629992,0,0,0.0,False,-1797.0888624251158,-1795.4797174647422,-780.4657764410198,-779.7669336641471,0.24530287502390333,0.24508322651716383,1.6091449603736692
b7974e66,5558,5.121557304654148,0,0,0.0,False,-1208.4941063265712,-1206.8920308788636,-524.8423217902315,-524.1465492636994,0.21743326850064254,0.21714502174862604,1.602075447707648
b7cdcecb,6168,4.830212457136732,1,590,0.09565499351491569,True,-1401.9409580667343,-1400.3319839011024,-608.8552220425408,-608.1564534408819,0.2272926326307935,0.22703177430303217,1.6089741656319347
b7fea9ef,3866,6.002949287213032,1,581,0.15028453181583032,True,-855.8173565464558,-854.2107815586121,-371.6767554651535,-370.97902881316924,0.2213702422520579,0.22095467707154995,1.6065749878437146
b85f7b06,3803,11.038685765765399,3,2510,0.6600052590060479,True,-806.9454444418717,-805.3440370405572,-350.45195371807193,-349.756471320402,0.21218654863052108,0.21176545807009128,1.6014074013145319
b881d27e,4009,2.111986384063004,0,0,0.0,False,-857.4950293006818,-855.8899710723124,-372.4053594847533,-371.7082915530391,0.21389249920196604,0.21349213546328571,1.605058228369444
b8c49c1a,4319,29.64960103393416,1,3269,0.7568881685575365,True,-941.229539235424,-939.6250265810725,-408.7707950942849,-408.07396410235606,0.2179276543726381,0.21755615341076,1.604512654351538
b95e7121,6306,14.53875999111774,3,2884,0.45734221376466855,True,-984.8778657979756,-983.268891715772,-427.72702246471215,-427.0282538992858,0.156181076085946,0.1559259263742106,1.608974082203531
b977be4a,5917,22.772492929372216,1,3677,0.6214297786040223,True,-1325.4163915521644,-1323.8071489355414,-575.6210250752248,-574.9221398867818,0.22400141821060748,0.22372944886522586,1.609242616623078
ba48188d,4166,2.444745832872954,0,0,0.0,False,-938.615295449518,-937.0059796014359,-407.63544344371604,-406.9365264512545,0.22530371950300482,0.22491742189184732,1.609315848082133
bb2cdd83,3825,3.606903586234676,0,0,0.0,False,-798.8888545560654,-797.6780109087883,-346.9530211877087,-346.42715847324865,0.2088598312564877,0.20854327082582702,1.2108436472771018
bb337fa0,6873,10.47603072369371,2,1323,0.1924923614142296,True,-1506.0923612596498,-1504.4884069398431,-654.0876017317047,-653.3910132213878,0.21913172723114357,0.21889835689507392,1.6039543198066895
bb682ebd,4139,40.585273441314946,1,3809,0.920270596762503,True,-876.1424105403867,-874.5355592030711,-380.50381425910336,-379.80596759006835,0.21167973194983974,0.21129150983403505,1.606851337315561
bc4381e2,4955,8.056797142572952,4,1471,0.29687184661957616,True,-932.8522046600368,-931.2427667476027,-405.13256491513687,-404.4335949108009,0.18826482435116787,0.18794001347075734,1.6094379124341458
bcebcc5f,6258,4.569060583701006,2,457,0.07302652604666028,True,-1413.0170407714254,-1411.4094328853716,-613.6655036422922,-612.9673284083149,0.22579371057389347,0.2255368221293339,1.6076078860537564
bd2c2f34,9823,6.581419545848138,1,1035,0.10536495978825205,True,-2063.89792497752,-2062.289463484511,-896.3394800293083,-895.6409340785408,0.21010871678484372,0.20994497235920911,1.60846149300869
bd4ae5da,5006,4.628651112986348,0,0,0.0,False,-1081.912224653514,-1080.3061775197134,-469.86850907069237,-469.1710116628063,0.21612309721404593,0.21580227277661074,1.60604713380053
bd6f0e19,5140,3.2758090204221104,0,0,0.0,False,-1210.0538641191188,-1208.4446459231142,-525.5197159926405,-524.8208414099374,0.23541903971189082,0.235105962241851,1.6092181960045764
bd8f847e,4961,0.8636276654071745,0,0,0.0,False,-1133.060277241474,-1131.4528648329717,-492.0818260697408,-491.38373573058544,0.22839352494284904,0.22806951518503765,1.6074124085023413
be063506,4500,7.925119583882211,1,729,0.162,True,-976.7654829661204,-975.1603139074028,-424.20385936575076,-423.5067433010279,0.21705899621469343,0.21670229197942284,1.6051690587175926
be35c8f2,4226,4.257488445758923,0,0,0.0,False,-918.9488355696222,-917.3404959174716,-399.0944084393056,-398.3959154033504,0.21745121523180838,0.21707063320337708,1.6083396521506756
be83e781,3221,3.3585794770548314,0,0,0.0,False,-780.0829559523809,-778.4771899880493,-338.7857231968964,-338.0883478993592,0.24218657434100616,0.24168804408197744,1.6057659643315674
beda8696,5912,8.34101340757991,1,1155,0.19536535859269283,True,-1272.8716099331018,-1271.2635632329527,-552.8011163652544,-552.102750556737,0.21530304633509842,0.21503104926132488,1.6080467001490888
bf39bc20,3303,5.252113104426362,1,380,0.11504692703602785,True,-747.0873747538715,-745.4828958704217,-324.45592435519313,-323.7591080297806,0.2261844912969638,0.2256987271784504,1.604478883449815
bf70b410,6347,16.611556082790255,1,1924,0.3031353395304868,True,-1349.9081917514109,-1348.3030959481234,-586.2576787536344,-585.5605945033407,0.21268444804654338,0.21243155757808782,1.6050958032874405
bffe3082,5723,0.9888348976606223,0,0,0.0,False,-1279.1596629962958,-1277.5504936254358,-555.5319831125145,-554.8331297343022,0.2235120850945825,0.2232309092478483,1.609169370859945
c03b9305,4255,9.861055537430147,2,1064,0.2500587544065805,True,-913.7026871840588,-912.1315913580337,-396.81603514420976,-396.1337168964258,0.21473623670600678,0.21436700149424998,1.5710958260251573
c03d4aed,4641,3.917903972593255,0,0,0.0,False,-1064.377964451455,-1062.7700884090075,-462.2534766206824,-461.555184927863,0.22934237544741543,0.22899592510428948,1.607876042447515
c03fba65,3699,3.801708856090862,1,192,0.05190592051905921,True,-788.3587055145703,-786.7673774524654,-342.3798355653685,-341.6887305690986,0.21312752244243585,0.21269731750539753,1.5913280621048216
