episode_id,well,decoder_rows,posterior_mean_error_recomputed_ft,marginal_map_mean_error_ft,viterbi_mean_error_ft
726f3dc2:000,726f3dc2,4707,-28.787599001487326,-30.235827490899815,-1.9706692159610928
bf70b410:000,bf70b410,1924,28.941297557172412,34.7856600832661,35.288284823393376
e3b34f5b:000,e3b34f5b,3214,28.386506845052775,28.278830118354772,9.072280647270452
2043abc5:000,2043abc5,6666,-27.959216171617303,-33.000022502162714,-19.506750674966508
7256229b:000,7256229b,3070,27.968781433224617,30.13897068417537,-4.711566775144235
137d1e44:000,137d1e44,2544,-28.090455778302026,-27.85973663511161,-36.74593946530949
b977be4a:000,b977be4a,3677,28.046334375849753,39.44710905642716,16.00881697046261
fc03f21f:000,fc03f21f,4072,27.222989808447778,27.399476915640786,11.695031925447557
ee0300f7:000,ee0300f7,4266,-27.48812365213329,-27.697808251187624,-27.633239568581832
84c3b497:000,84c3b497,2633,25.456700341815274,25.396296999746212,34.864242309288635
9ad5410a:000,9ad5410a,1533,-27.577977495107707,-27.75993476834989,-3.0010306587352384
bb337fa0:001,bb337fa0,779,-26.553706033376187,-19.274916559576113,-29.53903722710963
543198e8:000,543198e8,2139,-26.40447709209926,-27.10025245431419,-26.56289855062062
5fb1c15f:000,5fb1c15f,2426,-27.0674841302557,-27.342126957858248,-20.061665292558033
53134831:000,53134831,4896,26.620673508986787,25.963335375931756,15.629828431476357
d1457cc5:000,d1457cc5,5333,-26.611746296643656,-27.089208700464162,-7.77712357012335
81fc01c6:002,81fc01c6,776,-26.363041237113627,-26.539342783394954,-32.383350515359666
276b012a:000,276b012a,2012,-24.185407306163192,-25.05665009929098,-27.730357852772766
c1708b88:000,c1708b88,4195,26.555112514898546,26.30889868902546,22.751747318343217
2d35f86d:000,2d35f86d,2531,-26.16970900829726,-26.63528249695112,-7.151718688159097
122bd617:000,122bd617,2076,-25.607104527938496,-19.326791907425093,-4.956054913190528
1b6ba517:000,1b6ba517,1023,-24.353062561094966,-22.311994134822818,7.382922776253227
877ed19c:000,877ed19c,2582,26.12763148721906,28.154024012523198,1.8113051898787147
43b06c70:001,43b06c70,3683,-24.132794868313983,-25.001927776184075,-8.67014661950159
ef8e3ed0:000,ef8e3ed0,2620,25.473367175572424,30.668797710042877,6.469236641316973
1550491d:000,1550491d,2092,24.726703871892788,25.324933078502156,28.312480879652348
8c167025:001,8c167025,2849,-25.01353861003875,-24.62518427508943,-16.146314496210866
e2fc7745:000,e2fc7745,1507,25.298699734571834,26.010092899934538,0.336536164671837
5cdd8dbc:000,5cdd8dbc,1163,-23.496917454858302,-23.260722269882365,-28.536904557075598
d463e527:000,d463e527,3166,-25.086358496525765,-25.02122236251694,-11.954924194468019
4a335117:000,4a335117,3270,-24.024719877675984,-24.059596330170038,-26.394214067175138
197f8a5a:000,197f8a5a,1415,-23.821390106007232,-24.14167491154895,-33.623088339120805
11d0f5ac:000,11d0f5ac,3537,-24.532942182640788,-24.541224201195035,-24.24931014973879
df8290be:000,df8290be,3014,-24.224092568016065,-37.94021897802636,-7.8568248174110185
974802e7:001,974802e7,2496,-22.3181662660258,-31.768693910175934,-13.161201922977101
173ed841:000,173ed841,3558,-23.901991849353703,-23.842731871739158,-18.917549184831312
b0d42b0d:000,b0d42b0d,4453,-23.469155737705076,-23.400184145420138,-21.210267235467118
f5859199:001,f5859199,5025,-23.183942686567335,-12.518425870538959,-17.654057711340485
940e709a:000,940e709a,3139,-23.422680630774238,-27.21570563866034,-1.9308537749836072
81bf5923:003,81bf5923,1745,23.13172865329498,15.43934670494382,51.303816619021084
aed44918:000,aed44918,2196,-23.09698474499098,-22.20995446256815,-7.499116575484101
a79fd2e7:001,a79fd2e7,663,-22.517304675716574,-23.07209653084849,8.490723982004429
e03b45fd:000,e03b45fd,1070,-22.69745514018704,-22.730803738228254,-7.206177569987942
df73b8f3:000,df73b8f3,936,22.48689423076912,23.313311965905942,31.098568376170466
abf460d2:000,abf460d2,2275,-22.70189934065949,-22.622945054854657,-8.404021977917608
7224331b:004,7224331b,2459,22.33297214314746,25.10367629130389,0.5857421717175858
493b5b31:001,493b5b31,1601,-21.842382573391795,-22.782429731307975,-11.619594003626602
1770d7c6:000,1770d7c6,1317,-22.058552771450433,-22.67208048587872,10.082551252955513
f40cd091:001,f40cd091,1569,-22.45247578075223,-11.648221797223627,-8.70835564043186
ff8bb73a:000,ff8bb73a,4039,21.72808653131949,21.790242634436563,0.8069670711567257
dd6bc5b2:000,dd6bc5b2,1737,22.08535204375348,18.804812895935132,-15.911076568695329
d9ae59b2:001,d9ae59b2,1115,20.946552017937073,22.106448430612648,5.671515695169341
7b38844c:000,7b38844c,2721,22.118509739066372,21.90329658226162,-6.5869092244563925
aee6393a:000,aee6393a,5155,21.644463724539165,24.67459747830965,-6.664422890298534
8f201368:000,8f201368,2818,-21.203392122072547,-21.193853796901806,-33.33977288846944
37344c2a:001,37344c2a,1624,-21.085944581280938,-26.94778325113416,-20.846921182162323
a612d5a0:000,a612d5a0,2725,-21.85464568807353,-22.446891743015144,-24.83703853200833
d085e611:000,d085e611,894,21.303059284116227,24.295234899451902,6.753736018002632
f9fc81aa:000,f9fc81aa,2079,21.610778739778603,21.686642616758817,10.221491101594465
