members,best_member_rmse,full_oof_weights_diagnostic,full_oof_rmse_diagnostic,crossfit_rmse,crossfit_delta_vs_best_member,crossfit_folds_beating_best_parent,crossfit_fold_weights
hmm_lgb_exp148|pf_temp_t4|sc8,8.3277284922205,"[0.999946553525846, 0.0, 5.344647415402986e-05]",8.327716754615574,8.329540547015347,0.001812054794847029,1,"[[0.9995630659969168, 1.8244666167384002e-17, 0.0004369340030832538], [0.9999999999999999, 5.551115123125783e-17, 0.0], [0.9997204260938293, 0.0, 0.0002795739061706251], [1.0, 0.0, 0.0], [0.9998390751936623, 7.448807738154317e-18, 0.00016092480633771435]]"
hmm_lgb_exp148|pf_mix_e05|sc8,8.3277284922205,"[0.9999465535258459, 4.3842425349882586e-18, 5.3446474154029695e-05]",8.327716754615572,8.329540547015347,0.001812054794847029,0,"[[0.9995630659969168, 5.8542682149480976e-18, 0.0004369340030832539], [1.0, 0.0, 0.0], [0.9997204260938294, 1.2569968937253817e-18, 0.0002795739061706249], [1.0, 0.0, 0.0], [0.9998390751936623, 1.3457659465976324e-17, 0.00016092480633771476]]"
hmm_lgb_exp148|pf_medoid_k8_m2|sc15,8.3277284922205,"[0.9999783103745634, 1.3204184856510474e-18, 2.168962543668217e-05]",8.327726723587135,8.329609413671633,0.0018809214511339434,0,"[[0.9977652355825745, 0.0018548107706771648, 0.0003799536467484156], [1.0, 5.551115123125783e-17, 0.0], [0.9997695414003729, 2.896852679609707e-19, 0.00023045859962712633], [1.0, 0.0, 0.0], [0.9998594740630233, 0.0, 0.0001405259369767108]]"
hmm_lgb_exp148|pf_medoid_k8_m2|sc8,8.3277284922205,"[0.999946553525846, 2.4699480741935398e-18, 5.344647415402986e-05]",8.327716754615574,8.329996638653576,0.002268146433076268,1,"[[0.99785941481204, 0.0017082992315195678, 0.0004322859564403022], [1.0, 0.0, 0.0], [0.9997204260938294, 0.0, 0.0002795739061706255], [0.9999999999999999, 0.0, 6.383447147550212e-17], [0.9998390751936623, 6.350629522039117e-19, 0.00016092480633771408]]"
hmm_lgb_exp148|sc8|sc15,8.3277284922205,"[0.9999465324420884, 5.343331072102787e-05, 3.4247190420727085e-08]",8.327716754611876,8.330039678345974,0.0023111861254747623,0,"[[0.9994098022817399, 0.00034615216478174084, 0.00024404555347833648], [1.0, 4.336808689942018e-19, 2.022258227832772e-17], [0.9996340478627105, 0.00022824200382674475, 0.00013771013346271945], [1.0, 0.0, 0.0], [0.9997829779649031, 0.0001280878618229239, 8.893417327400407e-05]]"
hmm_lgb_exp148|hmm_exp218_residual_scale|exp192_pf_ancc,8.3277284922205,"[0.6403873670681695, 0.31925026185532696, 0.04036237107650355]",8.274178846031994,8.33332434074856,0.0055958485280598325,3,"[[0.6290896726717866, 0.29342995306435904, 0.07748037426385432], [0.6393041143083323, 0.33786593911873025, 0.02282994657293739], [0.5861519073592246, 0.35060156826692485, 0.06324652437385055], [0.6568919920394478, 0.3041109259875777, 0.038997081972974426], [0.6878091126021519, 0.312190887397848, 1.0290821370048882e-17]]"
hmm_exp218_shrink_a050|likpf_mean|pf_medoid_k8_m1,8.33685425907129,"[1.0, 5.551115123125783e-17, 1.2323239641733019e-17]",8.33685425907129,8.33685425907129,0.0,1,"[[0.9999999999999998, 1.9428902930940235e-16, 0.0], [0.9999999999999998, 0.0, 1.6653345369377346e-16], [1.0, 3.859759734048396e-17, 0.0], [1.0, 6.938893903907228e-18, 3.5914418061997606e-18], [1.0, 0.0, 0.0]]"
hmm_exp218_shrink_a050|likpf_mean|pf_mix_e02,8.33685425907129,"[1.0, 0.0, 0.0]",8.33685425907129,8.33685425907129,0.0,0,"[[1.0, 3.382710778154774e-17, 0.0], [1.0, 6.938893903907228e-17, 0.0], [1.0, 3.5561831257524545e-17, 3.824705949336768e-18], [1.0, 0.0, 0.0], [1.0, 0.0, 8.053805097995404e-19]]"
hmm_exp218_shrink_a050|likpf_mean|pf_medoid_k8_m2,8.33685425907129,"[1.0, 2.7755575615628914e-17, 1.369005457281753e-17]",8.33685425907129,8.33685425907129,0.0,0,"[[1.0, 0.0, 0.0], [1.0, 0.0, 0.0], [1.0, 0.0, 0.0], [1.0, 0.0, 0.0], [1.0, 4.163336342344337e-17, 0.0]]"
hmm_exp218_shrink_a050|likpf_mean|pf_temp_t2,8.33685425907129,"[1.0, 5.551115123125783e-17, 0.0]",8.33685425907129,8.33685425907129,0.0,0,"[[1.0, 0.0, 8.067638995006307e-18], [1.0, 0.0, 0.0], [1.0, 1.4311468676808662e-17, 5.114835210921147e-18], [1.0, 0.0, 0.0], [1.0, 0.0, 0.0]]"
hmm_exp218_shrink_a050|likpf_mean|pf_temp_t4,8.33685425907129,"[1.0, 0.0, 4.004216277661829e-18]",8.33685425907129,8.33685425907129,0.0,0,"[[1.0, 6.938893903907228e-17, 0.0], [1.0, 0.0, 0.0], [1.0, 3.2959746043559335e-17, 0.0], [1.0, 1.3877787807814457e-17, 0.0], [1.0, 0.0, 4.72842066178954e-18]]"
hmm_exp218_shrink_a050|likpf_mean|pf_mix_e05,8.33685425907129,"[1.0, 5.551115123125783e-17, 0.0]",8.33685425907129,8.33685425907129,0.0,0,"[[1.0, 5.765922678549473e-17, 0.0], [1.0, 1.3877787807814457e-17, 0.0], [1.0, 8.673617379884035e-18, 0.0], [1.0, 0.0, 4.162003775431366e-18], [1.0, 5.551115123125783e-17, 0.0]]"
hmm_exp218_shrink_a050|pf_medoid_k8_m1|pf_mix_e02,8.33685425907129,"[0.9999999999999998, 0.0, 1.9117725238914784e-16]",8.33685425907129,8.33685425907129,0.0,0,"[[1.0, 0.0, 0.0], [1.0, 0.0, 0.0], [1.0, 5.551115123125783e-17, 0.0], [1.0, 2.7755575615628914e-17, 0.0], [1.0, 0.0, 0.0]]"
hmm_exp218_shrink_a050|pf_medoid_k8_m1|pf_medoid_k8_m2,8.33685425907129,"[1.0, 0.0, 0.0]",8.33685425907129,8.33685425907129,0.0,1,"[[1.0, 0.0, 0.0], [1.0, 0.0, 4.163336342344337e-17], [1.0, 5.551115123125783e-17, 0.0], [1.0, 0.0, 1.3877787807814457e-17], [0.9999999999999999, 5.551115123125783e-17, 0.0]]"
hmm_exp218_shrink_a050|pf_medoid_k8_m1|pf_temp_t2,8.33685425907129,"[0.9999999999999998, 1.5872719805187782e-16, 0.0]",8.33685425907129,8.33685425907129,0.0,0,"[[1.0, 2.7755575615628914e-17, 0.0], [1.0, 0.0, 0.0], [1.0, 2.7755575615628914e-17, 0.0], [1.0, 2.7755575615628914e-17, 2.7755575615628914e-17], [0.9999999999999999, 8.326672684688674e-17, 2.7755575615628914e-17]]"
