well,rows,original_episode_rows,exp209_rmse_ft,exp355_rmse_ft,rmse_gain_ft,original_episode_exp209_rmse_ft,original_episode_exp355_rmse_ft,outside_exp209_rmse_ft,outside_exp355_rmse_ft
8c8348e8,3888,0,4.428241677181978,4.81976793764461,-0.3915262604626317,,,4.428241677181978,4.81976793764461
8cc21f01,4044,2198,13.268797425163903,12.978086863462293,0.29071056170161036,17.133918209101967,16.663857028859034,6.011961220254135,6.192304092511464
8cc800b3,6576,472,4.6288054899797855,6.176570663178308,-1.5477651731985222,11.918150728493089,13.022625538527102,3.4783630033386683,5.290212394827623
8d5d46d7,5755,5348,56.42298016803102,5.539602874483797,50.88337729354722,58.51472722465102,5.744167496101035,4.941057221880954,0.5971158489957707
8d92cb49,3589,0,1.700057124325069,1.647584338803661,0.052472785521407994,,,1.700057124325069,1.647584338803661
8f201368,6349,5100,17.707447345809392,18.943971860997603,-1.2365245151882114,19.426995218972902,20.955828028864197,7.267664042297737,5.576683910396216
90386ee4,3840,0,3.815888362063498,6.120325234630369,-2.3044368725668707,,,3.815888362063498,6.120325234630369
91abc4c7,5848,0,1.5411122840446658,1.5659451438488117,-0.024832859804145846,,,1.5411122840446658,1.5659451438488117
91b301ce,6570,5025,42.3535136806129,56.63224749192558,-14.278733811312684,48.40517559363702,64.73709696191972,2.7302155309551885,2.8041067284471346
91db7070,4073,3535,47.654410709021185,48.93829523623502,-1.2838845272138357,51.062223386537674,52.44745996958244,7.780169214636,7.567151935108959
925a7cd1,4517,0,2.4152999050621053,1.6630802837029468,0.7522196213591585,,,2.4152999050621053,1.6630802837029468
9283ae69,3371,2636,14.300276715984955,14.437640308753972,-0.13736359276901666,15.881199662032287,16.035584012911823,5.777073086220961,5.814445702458673
9298ad5b,3964,0,2.0707013603155153,9.611754128592295,-7.54105276827678,,,2.0707013603155153,9.611754128592295
9314ff13,2748,401,6.288091033546056,2.236991017884707,4.0511000156613495,11.336197292406903,2.825657141629994,4.933469044458887,2.1201275707087466
93209a3d,4697,2973,14.852914741889602,7.832984881402502,7.0199298604871005,18.02511664713639,8.904761468587262,6.383834877375119,5.515435348708304
939d9c34,5101,2122,14.007818937945256,14.800734841346799,-0.7929159034015427,20.92088691255011,22.13006495784277,4.921289447222864,5.123719221949651
93f5d2e6,3691,1483,24.535210823155325,12.728076818264457,11.807134004890868,37.979369924008324,19.646772558596407,6.122543274479131,3.400031911435037
940a48d9,3963,442,5.709385761696567,6.4387361926082445,-0.7293504309116772,11.106283398567507,13.340163788056108,4.60485642717047,4.931713973388654
940e709a,3348,3139,23.191209076106148,25.79794583695482,-2.6067367608486727,23.91353845659519,26.610459631248805,5.177241828402748,5.097131215634549
9426ec1e,2532,0,2.9650617987787244,3.3060067356540017,-0.34094493687527727,,,2.9650617987787244,3.3060067356540017
94467f50,3035,1083,9.329959734900338,9.854757498749613,-0.5247977638492749,15.252083496525955,15.653702856465497,2.5058454152763563,3.8790105671911492
944f36b9,4630,324,6.53338599997557,6.496024009320349,0.03736199065522072,10.68421510271654,10.67550836421526,6.107999397424206,6.06615333221012
94d813a4,4847,2622,10.393277565835476,10.512487595104565,-0.11921002926908919,13.386917526922053,13.416138229315559,4.912105237808157,5.351154485765964
95b559e7,2887,0,3.516761900623043,3.51879227632605,-0.0020303757030069036,,,3.516761900623043,3.51879227632605
95c8427f,6335,0,1.9013372452891708,2.1365873394574546,-0.2352500941682838,,,1.9013372452891708,2.1365873394574546
96936c22,3346,295,4.616856901117723,3.2877190489539454,1.3291378521637776,12.65391752517382,7.187894223241728,2.809669802698765,2.6189073225791097
96ae5806,9839,769,5.318867639408203,5.906863656320908,-0.5879960169127054,12.221327776391735,11.01855498604973,4.2456318711220264,5.249347598185182
96b7eea1,4332,575,6.3068544270931195,3.3162087819731605,2.990645645119959,13.589648530967278,5.667023358360946,4.195173705797338,2.7866097389907463
9719aa04,4871,0,2.4666200203892363,3.445936225272665,-0.9793162048834287,,,2.4666200203892363,3.445936225272665
974802e7,5843,2749,16.56046500935775,13.205481391948894,3.3549836174088554,23.70243623647586,9.453888016350358,4.330915923471957,15.808683765581582
