query_label,split,well_id,view,rank_by_z_rmse,candidate_label,candidate_split,candidate_well_id,candidate_is_provided,overlap_grid_points,coverage_query,coverage_candidate,corr,raw_rmse,resid_std,z_rmse
horizontal:train:01869cd4:full,train,01869cd4,full,8,typewell:train:42669188,train,42669188,False,513.0,1.0,0.23805104196071625,0.7530237436294556,15.353184700012207,15.347138404846191,0.7028175592422485
horizontal:train:01869cd4:full,train,01869cd4,full,9,typewell:train:8cc21f01,train,8cc21f01,False,513.0,1.0,0.266216903924942,0.7530237436294556,15.353184700012207,15.347138404846191,0.7028175592422485
horizontal:train:01869cd4:full,train,01869cd4,full,10,typewell:train:a056d01e,train,a056d01e,False,513.0,1.0,0.2845257818698883,0.7530237436294556,15.353184700012207,15.347138404846191,0.7028175592422485
horizontal:train:01982c1d:prefix,train,01982c1d,prefix,1,typewell:train:84633df4,train,84633df4,False,740.0,0.9002432823181152,0.3672456443309784,0.9238260984420776,15.608859062194824,13.955918312072754,0.39031755924224854
horizontal:train:01982c1d:prefix,train,01982c1d,prefix,2,typewell:train:b32902c0,train,b32902c0,False,696.0,0.8467153310775757,0.36306729912757874,0.9237020611763,15.607064247131348,14.072615623474121,0.390635222196579
horizontal:train:01982c1d:prefix,train,01982c1d,prefix,3,typewell:train:fae0c593,train,fae0c593,False,702.0,0.8540145754814148,0.3641078770160675,0.9236366748809814,15.646740913391113,14.065156936645508,0.3908025622367859
horizontal:train:01982c1d:prefix,train,01982c1d,prefix,4,typewell:train:940a48d9,train,940a48d9,False,686.0,0.8345499038696289,0.36354002356529236,0.9236131906509399,15.666299819946289,14.148674964904785,0.39086267352104187
horizontal:train:01982c1d:prefix,train,01982c1d,prefix,5,typewell:train:5f4d2a52,train,5f4d2a52,False,701.0,0.8527980446815491,0.36377790570259094,0.9235935211181641,15.64682388305664,14.071290969848633,0.3909129798412323
horizontal:train:01982c1d:prefix,train,01982c1d,prefix,6,typewell:train:8478df29,train,8478df29,False,680.0,0.827250599861145,0.36266666650772095,0.9233546853065491,15.704907417297363,14.20168685913086,0.39152348041534424
horizontal:train:01982c1d:prefix,train,01982c1d,prefix,7,typewell:train:89969c7a,train,89969c7a,False,752.0,0.9148418307304382,0.3689891993999481,0.9231624603271484,15.505661010742188,13.884778022766113,0.39201414585113525
horizontal:train:01982c1d:prefix,train,01982c1d,prefix,8,typewell:train:f16e25e3,train,f16e25e3,False,665.0,0.8090024590492249,0.3612167239189148,0.9227448105812073,15.738129615783691,14.302409172058105,0.393078088760376
horizontal:train:01982c1d:prefix,train,01982c1d,prefix,9,typewell:train:796dbd4c,train,796dbd4c,False,769.0,0.9355230927467346,0.3702455461025238,0.9223722815513611,15.372953414916992,13.779741287231445,0.39402467012405396
horizontal:train:01982c1d:prefix,train,01982c1d,prefix,10,typewell:train:6ea22614,train,6ea22614,False,818.0,0.9951338171958923,0.37505730986595154,0.9189162850379944,14.979774475097656,13.541933059692383,0.40270018577575684
horizontal:train:01982c1d:full,train,01982c1d,full,1,typewell:train:b32902c0,train,b32902c0,False,706.0,0.848557710647583,0.36828377842903137,0.9286686778068542,15.360032081604004,13.897624969482422,0.3777070939540863
horizontal:train:01982c1d:full,train,01982c1d,full,2,typewell:train:84633df4,train,84633df4,False,750.0,0.901442289352417,0.37220844626426697,0.9286645650863647,15.37647533416748,13.7949857711792,0.3777179718017578
horizontal:train:01982c1d:full,train,01982c1d,full,3,typewell:train:fae0c593,train,fae0c593,False,712.0,0.8557692170143127,0.3692946135997772,0.9286028146743774,15.401873588562012,13.893237113952637,0.3778814375400543
horizontal:train:01982c1d:full,train,01982c1d,full,4,typewell:train:940a48d9,train,940a48d9,False,696.0,0.8365384340286255,0.36883941292762756,0.9285891652107239,15.415788650512695,13.970671653747559,0.3779175579547882
horizontal:train:01982c1d:full,train,01982c1d,full,5,typewell:train:5f4d2a52,train,5f4d2a52,False,711.0,0.854567289352417,0.36896729469299316,0.928562343120575,15.401609420776367,13.898931503295898,0.3779885172843933
horizontal:train:01982c1d:full,train,01982c1d,full,6,typewell:train:8478df29,train,8478df29,False,690.0,0.8293269276618958,0.36800000071525574,0.9283468127250671,15.452263832092285,14.021692276000977,0.37855827808380127
horizontal:train:01982c1d:full,train,01982c1d,full,7,typewell:train:89969c7a,train,89969c7a,False,762.0,0.9158653616905212,0.3738959729671478,0.9280290603637695,15.276756286621094,13.725255012512207,0.3793967366218567
horizontal:train:01982c1d:full,train,01982c1d,full,8,typewell:train:f16e25e3,train,f16e25e3,False,675.0,0.8112980723381042,0.3666485548019409,0.9277702569961548,15.479927062988281,14.116146087646484,0.3800782561302185
horizontal:train:01982c1d:full,train,01982c1d,full,9,typewell:train:796dbd4c,train,796dbd4c,False,779.0,0.9362980723381042,0.37506017088890076,0.9272748827934265,15.148812294006348,13.622675895690918,0.3813793957233429
horizontal:train:01982c1d:full,train,01982c1d,full,10,typewell:train:6ea22614,train,6ea22614,False,828.0,0.995192289352417,0.3796423673629761,0.9239575862884521,14.768299102783203,13.389326095581055,0.3899805545806885
