well,rows,persistent_rows,episodes,grid_count,rate_span,truth_rows,truth_out_of_grid_fraction,truth_local_illegal_fraction,truth_dynamic_break_fraction,truth_best_position_nll_median,truth_best_position_nll_p90,truth_support_rate_count_median,truth_conditioned_transition_nll_mean,truth_conditioned_transition_nll_median,truth_conditioned_transition_nll_p90,truth_conditioned_rate_edge_mass_mean,posterior_mean_rows,posterior_mean_out_of_grid_fraction,posterior_mean_local_illegal_fraction,posterior_mean_dynamic_break_fraction,posterior_mean_best_position_nll_median,posterior_mean_best_position_nll_p90,posterior_mean_support_rate_count_median,posterior_mean_conditioned_transition_nll_mean,posterior_mean_conditioned_transition_nll_median,posterior_mean_conditioned_transition_nll_p90,posterior_mean_conditioned_rate_edge_mass_mean,marginal_map_rows,marginal_map_out_of_grid_fraction,marginal_map_local_illegal_fraction,marginal_map_dynamic_break_fraction,marginal_map_best_position_nll_median,marginal_map_best_position_nll_p90,marginal_map_support_rate_count_median,marginal_map_conditioned_transition_nll_mean,marginal_map_conditioned_transition_nll_median,marginal_map_conditioned_transition_nll_p90,marginal_map_conditioned_rate_edge_mass_mean,global_viterbi_rows,global_viterbi_out_of_grid_fraction,global_viterbi_local_illegal_fraction,global_viterbi_dynamic_break_fraction,global_viterbi_best_position_nll_median,global_viterbi_best_position_nll_p90,global_viterbi_support_rate_count_median,global_viterbi_conditioned_transition_nll_mean,global_viterbi_conditioned_transition_nll_median,global_viterbi_conditioned_transition_nll_p90,global_viterbi_conditioned_rate_edge_mass_mean
044af7d1,4519,0,0,573,0.1,4519,0.0,0.0,0.0,0.03320257376026013,0.03320257376026015,41.0,0.2762343646007512,0.09339029447109269,0.16484976750642685,0.041108289294974454,4519,0.0,0.0,0.0,0.03320257376026012,0.033202573760260146,41.0,,,,,4519,0.0,0.0002212878955521133,0.0002212878955521133,0.03320257376026012,0.03320257376026015,41.0,,,,,4519,0.0,0.0,0.0,0.03320257376026012,0.033202573760260146,41.0,0.0964433942405051,0.09171833262884009,0.12151368187260163,0.036153278020530914
0498acab,4798,278,1,573,0.1,4798,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,0.2453260536636231,0.08446344624640982,0.13858048190708247,0.040542517087307335,4798,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,,,,,4798,0.0,0.003126302626094206,0.003126302626094206,0.03320257376026013,0.033202573760260146,41.0,,,,,4798,0.0,0.0,0.0,0.03320257376026012,0.033202573760260146,41.0,0.0923540620195722,0.08446344624621543,0.11861624795430567,0.03624132645628775
052d64df,2445,0,0,573,0.1,2445,0.0,0.0,0.0,0.03320257376026012,0.033202573760260146,41.0,0.2535347917935141,0.0917183326288402,0.12151368187209978,0.040988692710226815,2445,0.0,0.0,0.0,0.03320257376026012,0.033202573760260146,41.0,,,,,2445,0.0,0.0,0.0,0.03320257376026012,0.033202573760260146,41.0,,,,,2445,0.0,0.0,0.0,0.03320257376026012,0.033202573760260146,41.0,0.08918634969358469,0.08547404866073505,0.10692207568380399,0.03618255317326647
05948241,3879,0,0,573,0.1,3879,0.0,0.0,0.0,0.03320257376026012,0.033202573760260146,41.0,0.2595689425719435,0.09339029447352161,0.1667175576756724,0.040299117180823144,3879,0.0,0.0,0.0,0.03320257376026012,0.033202573760260146,41.0,,,,,3879,0.0,0.0041247744263985565,0.0041247744263985565,0.03320257376026012,0.033202573760260146,41.0,,,,,3879,0.0,0.0,0.0,0.03320257376026012,0.033202573760260146,41.0,0.11187850285489213,0.09339029447109368,0.1385804819077512,0.03635157892439047
059c8f24,6258,293,1,573,0.1,6258,0.0,0.00015979546180888463,0.00015979546180888463,0.033202573760260125,0.033202573760260146,41.0,0.21973765703877007,0.09339029447352161,0.17964052936753258,0.03893354168702203,6258,0.0,0.0,0.0,0.033202573760260125,0.033202573760260146,41.0,,,,,6258,0.0,0.0011185682326621924,0.0011185682326621924,0.033202573760260125,0.033202573760260146,41.0,,,,,6258,0.0,0.0,0.0,0.033202573760260125,0.033202573760260146,41.0,0.10729432968409353,0.09339029447352161,0.16671755767567226,0.03608361510970505
05a0ee4d,4348,732,2,573,0.10000000000130968,4348,0.0,0.0,0.0,0.03320257376026014,0.03320257376026015,41.0,0.2635032728329473,0.10245248944885539,0.1580021456931609,0.04000066052715505,4348,0.0,0.0,0.0,0.03320257376026014,0.03320257376026015,41.0,,,,,4348,0.0,0.0027598896044158236,0.0027598896044158236,0.03320257376026014,0.03320257376026015,41.0,,,,,4348,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,0.10370924094421967,0.10245248944840804,0.13473402455101613,0.03588798351008964
060ab2b8,6258,0,0,573,0.1,6258,0.0,0.0,0.0,0.033202573760260125,0.033202573760260146,41.0,0.22380553387076946,0.07868061948121687,0.11861624795758453,0.040394714463735146,6258,0.0,0.0,0.0,0.033202573760260125,0.033202573760260146,41.0,,,,,6258,0.0,0.0006391818472355385,0.0006391818472355385,0.033202573760260125,0.033202573760260146,41.0,,,,,6258,0.0,0.0,0.0,0.03320257376026012,0.033202573760260146,41.0,0.09004363663521484,0.07868061948121687,0.10479984329504503,0.03650445655372251
06df5958,3509,0,0,498,0.1,3509,0.0,0.00028498147620404675,0.00028498147620404675,0.03320257376026013,0.03320257376026015,41.0,0.19713555227762877,0.08547404866255696,0.1347340245501754,0.03885893840982864,3509,0.0,0.0,0.0,0.03320257376026013,0.03320257376026015,41.0,,,,,3509,0.0,0.0017098888572242804,0.0017098888572242804,0.03320257376026013,0.033202573760260146,41.0,,,,,3509,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,0.10860234713106795,0.08547404866238331,0.13055730139094215,0.036481946263118
071d7b45,3211,0,0,573,0.1,3211,0.0,0.0,0.0,0.03320257376026012,0.033202573760260146,41.0,0.24875336353666402,0.1047998432919352,0.15302664551007067,0.03998737586848406,3211,0.0,0.0,0.0,0.03320257376026012,0.033202573760260146,41.0,,,,,3211,0.0,0.0003114294612270321,0.0003114294612270321,0.03320257376026012,0.033202573760260146,41.0,,,,,3211,0.0,0.0,0.0,0.03320257376026012,0.033202573760260146,41.0,0.11186825211962027,0.10245248944748911,0.1347340245501759,0.036152018285920115
0849b4e2,5537,0,0,573,0.1,5537,0.0,0.00036120642947444465,0.00036120642947444465,0.03320257376026013,0.033202573760260146,41.0,0.20313532914875693,0.07806582436771739,0.10479984329504516,0.04001899897209615,5537,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,,,,,5537,0.0,0.00036120642947444465,0.00036120642947444465,0.03320257376026013,0.033202573760260146,41.0,,,,,5537,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,0.09590574827411712,0.07806582436771739,0.09489264604838503,0.03683495786903946
